task_id,user_id,title,description,status,priority,due_date,completed_at,schedule_id,goal_id,created_at
632732b0-1356-49da-9262-8c31e0fa96d7,052cd082-8ad5-4338-976d-314a469f300a,Initial Assessment & Setup for Learn TypeScript,"Review current baseline, define measurable KPIs, gather necessary tools.",pending,medium,2026-09-14,,,,2026-09-14T15:43:32.321508+00:00
7dc2bae7-8dc8-41f2-a9c8-a79d746a4b92,052cd082-8ad5-4338-976d-314a469f300a,Environment & Resource Preparation,"Organize dedicated workspace, study materials, or equipment required.",pending,medium,2026-09-15,,,,2026-09-14T15:43:32.332534+00:00
9b6e849c-7f84-4324-b56d-9f13967f6d21,052cd082-8ad5-4338-976d-314a469f300a,Foundation Phase - Core Fundamentals,Focus on foundational principles of Learn TypeScript.,pending,medium,2026-09-16,,,,2026-09-14T15:43:32.341305+00:00
62b157b2-2756-4f49-a476-11df3c99e21e,052cd082-8ad5-4338-976d-314a469f300a,Practice Session 1,Apply fundamental concepts through hands-on exercises.,pending,medium,2026-09-17,,,,2026-09-14T15:43:32.349221+00:00
769f449b-3807-4923-b4ce-2a04ccaeb0b8,052cd082-8ad5-4338-976d-314a469f300a,Intermediate Deep Dive,Expand knowledge to level 2 complexity and real-world patterns.,pending,medium,2026-09-18,,,,2026-09-14T15:43:32.356860+00:00
da35adfe-71c6-4cdd-bf0e-f6186c7dd189,052cd082-8ad5-4338-976d-314a469f300a,Practical Application & Project Work,Build a mini-project or practical milestone demonstrating progress.,pending,medium,2026-09-19,,,,2026-09-14T15:43:32.366606+00:00
b322f27a-6593-4ce5-a7dd-d4f31b9f3224,052cd082-8ad5-4338-976d-314a469f300a,Weekly Progress Review & Refinement,"Evaluate week 1 achievements, identify bottlenecks, adjust pacing.",pending,medium,2026-09-20,,,,2026-09-14T15:43:32.375559+00:00
8dbfdadc-4c8f-43a8-b686-a21e6a8f9d00,052cd082-8ad5-4338-976d-314a469f300a,Advanced Concept Exploration,Tackle more challenging aspects and edge cases.,pending,medium,2026-09-21,,,,2026-09-14T15:43:32.385524+00:00
4bea0a35-2522-42c7-a306-b572c3ed850c,052cd082-8ad5-4338-976d-314a469f300a,Structured Habit Building,Establish repeatable daily routines to sustain momentum.,pending,medium,2026-09-22,,,,2026-09-14T15:43:32.396528+00:00
c3243287-76f1-48f7-a966-fb8689b5259c,052cd082-8ad5-4338-976d-314a469f300a,Practical Testing & Feedback,Test skills or results against standard benchmarks.,pending,medium,2026-09-23,,,,2026-09-14T15:43:32.406320+00:00
a6a067e3-3528-444c-8a38-c68078a98207,052cd082-8ad5-4338-976d-314a469f300a,Optimization & Speed Enhancement,Streamline workflow and eliminate friction points.,pending,medium,2026-09-24,,,,2026-09-14T15:43:32.417251+00:00
38366cd7-f89b-4bd5-bd05-d0fa3e904bcc,052cd082-8ad5-4338-976d-314a469f300a,Capstone Preparation,Synthesize all learnings into an integrated deliverable.,pending,medium,2026-09-25,,,,2026-09-14T15:43:32.427818+00:00
f8bbebce-7464-40ff-9be8-661a9e589efe,052cd082-8ad5-4338-976d-314a469f300a,Final Execution & Polish,Finalize milestone output and prepare documentation.,pending,medium,2026-09-26,,,,2026-09-14T15:43:32.437752+00:00
dc9bee9e-5ee5-4e14-ad66-51314ee95485,052cd082-8ad5-4338-976d-314a469f300a,Two-Week Sprint Retrospective,Comprehensive review of progress and roadmap transition to month 2.,pending,medium,2026-09-27,,,,2026-09-14T15:43:32.451646+00:00
6176bf03-b81c-495f-a692-b33d13883c0e,d42b4bff-581d-4fb0-8c68-fe72075f1698,Environment & Resource Preparation,"Organize dedicated workspace, study materials, or equipment required.",pending,medium,2026-09-21,,,,2026-09-14T15:45:23.798768+00:00
96fbcca4-5ac7-4052-a950-b32f52e06dff,d42b4bff-581d-4fb0-8c68-fe72075f1698,Foundation Phase - Core Fundamentals,Focus on foundational principles of learn AI.,pending,medium,2026-09-22,,,,2026-09-14T15:45:23.816450+00:00
bfbd2392-b52a-4dd9-b16f-ad27210c94fd,d42b4bff-581d-4fb0-8c68-fe72075f1698,Practice Session 1,Apply fundamental concepts through hands-on exercises.,pending,medium,2026-09-23,,,,2026-09-14T15:45:23.830933+00:00
fe29009c-c896-4b44-b10c-ddc14d0f6333,d42b4bff-581d-4fb0-8c68-fe72075f1698,Intermediate Deep Dive,Expand knowledge to level 2 complexity and real-world patterns.,pending,medium,2026-09-24,,,,2026-09-14T15:45:23.844033+00:00
5d26ea3c-b4e7-4fb4-af57-de4c6193894a,d42b4bff-581d-4fb0-8c68-fe72075f1698,Practical Application & Project Work,Build a mini-project or practical milestone demonstrating progress.,pending,medium,2026-09-25,,,,2026-09-14T15:45:23.858839+00:00
71ab443a-2f6e-40cb-bd99-d4e215ac11b7,d42b4bff-581d-4fb0-8c68-fe72075f1698,Weekly Progress Review & Refinement,"Evaluate week 1 achievements, identify bottlenecks, adjust pacing.",pending,medium,2026-09-26,,,,2026-09-14T15:45:23.878874+00:00
e4483aac-5fcd-4667-9512-e4c174c67014,d42b4bff-581d-4fb0-8c68-fe72075f1698,Advanced Concept Exploration,Tackle more challenging aspects and edge cases.,pending,medium,2026-09-27,,,,2026-09-14T15:45:23.894969+00:00
e6bc5643-2e77-4f5f-9edb-b905a4334ac3,d42b4bff-581d-4fb0-8c68-fe72075f1698,Structured Habit Building,Establish repeatable daily routines to sustain momentum.,pending,medium,2026-09-28,,,,2026-09-14T15:45:23.911320+00:00
0955732c-359e-456e-be25-2482be52f7b4,d42b4bff-581d-4fb0-8c68-fe72075f1698,Practical Testing & Feedback,Test skills or results against standard benchmarks.,pending,medium,2026-09-29,,,,2026-09-14T15:45:23.927928+00:00
095ca671-5ce5-4a6b-a873-f916cf712143,d42b4bff-581d-4fb0-8c68-fe72075f1698,Optimization & Speed Enhancement,Streamline workflow and eliminate friction points.,pending,medium,2026-09-30,,,,2026-09-14T15:45:23.947107+00:00
0b9145f9-d40f-46ca-82c2-604836dd7980,d42b4bff-581d-4fb0-8c68-fe72075f1698,Capstone Preparation,Synthesize all learnings into an integrated deliverable.,pending,medium,2026-10-01,,,,2026-09-14T15:45:23.963165+00:00
daa5763f-2715-4483-9e14-f9d91ceb1d0b,d42b4bff-581d-4fb0-8c68-fe72075f1698,Final Execution & Polish,Finalize milestone output and prepare documentation.,pending,medium,2026-10-02,,,,2026-09-14T15:45:23.980249+00:00
28561f3c-1890-44ac-a669-5eb7e5f1ebef,d42b4bff-581d-4fb0-8c68-fe72075f1698,Two-Week Sprint Retrospective,Comprehensive review of progress and roadmap transition to month 2.,pending,medium,2026-10-03,,,,2026-09-14T15:45:23.997642+00:00
