schedule_id,user_id,title,description,date,time_start,time_end,recurrence,goal_id,created_at
df3b7e5b-218c-41e8-9566-46eadff778c3,052cd082-8ad5-4338-976d-314a469f300a,Initial Assessment & Setup for Learn TypeScript,"Review current baseline, define measurable KPIs, gather necessary tools.",2026-09-14,09:00,09:45,none,,2026-09-14T15:43:32.326686+00:00
be04fee3-1f09-4561-bca9-9dffdd7263c2,052cd082-8ad5-4338-976d-314a469f300a,Environment & Resource Preparation,"Organize dedicated workspace, study materials, or equipment required.",2026-09-15,09:00,09:30,none,,2026-09-14T15:43:32.336800+00:00
261e4b06-eff5-4996-a546-fdeac377b565,052cd082-8ad5-4338-976d-314a469f300a,Foundation Phase - Core Fundamentals,Focus on foundational principles of Learn TypeScript.,2026-09-16,09:00,10:00,none,,2026-09-14T15:43:32.345647+00:00
a6c5af30-981b-4bbb-bd35-69544b12b4a5,052cd082-8ad5-4338-976d-314a469f300a,Practice Session 1,Apply fundamental concepts through hands-on exercises.,2026-09-17,09:00,09:45,none,,2026-09-14T15:43:32.353005+00:00
5664cc72-98b1-486b-8716-b9d2d9622b96,052cd082-8ad5-4338-976d-314a469f300a,Intermediate Deep Dive,Expand knowledge to level 2 complexity and real-world patterns.,2026-09-18,09:00,10:00,none,,2026-09-14T15:43:32.361283+00:00
335e2402-b07a-45f4-acfd-8a2bf94c933b,052cd082-8ad5-4338-976d-314a469f300a,Practical Application & Project Work,Build a mini-project or practical milestone demonstrating progress.,2026-09-19,09:00,10:00,none,,2026-09-14T15:43:32.370785+00:00
042ed43f-ff38-4a10-b70b-2d7a441a220c,052cd082-8ad5-4338-976d-314a469f300a,Weekly Progress Review & Refinement,"Evaluate week 1 achievements, identify bottlenecks, adjust pacing.",2026-09-20,09:00,09:30,none,,2026-09-14T15:43:32.380417+00:00
e4d8143b-de61-44aa-ac9d-5d96a4240a7a,052cd082-8ad5-4338-976d-314a469f300a,Advanced Concept Exploration,Tackle more challenging aspects and edge cases.,2026-09-21,09:00,09:50,none,,2026-09-14T15:43:32.391085+00:00
2fb16284-7db7-429a-8b9f-1a525eda7dd8,052cd082-8ad5-4338-976d-314a469f300a,Structured Habit Building,Establish repeatable daily routines to sustain momentum.,2026-09-22,09:00,09:40,none,,2026-09-14T15:43:32.402023+00:00
7ae94077-725c-4430-b945-f95492f551b8,052cd082-8ad5-4338-976d-314a469f300a,Practical Testing & Feedback,Test skills or results against standard benchmarks.,2026-09-23,09:00,09:45,none,,2026-09-14T15:43:32.412010+00:00
abf576d3-e268-4f60-be24-62dde9e4fd35,052cd082-8ad5-4338-976d-314a469f300a,Optimization & Speed Enhancement,Streamline workflow and eliminate friction points.,2026-09-24,09:00,09:45,none,,2026-09-14T15:43:32.422944+00:00
903b2bca-1a70-4b2d-b6d0-cc076ad58446,052cd082-8ad5-4338-976d-314a469f300a,Capstone Preparation,Synthesize all learnings into an integrated deliverable.,2026-09-25,09:00,10:00,none,,2026-09-14T15:43:32.433372+00:00
ace1c1f5-2a91-4bc8-b032-df15c0e4f05a,052cd082-8ad5-4338-976d-314a469f300a,Final Execution & Polish,Finalize milestone output and prepare documentation.,2026-09-26,09:00,10:00,none,,2026-09-14T15:43:32.444093+00:00
b1920647-20a5-49c8-8792-29fbbd30c1ed,052cd082-8ad5-4338-976d-314a469f300a,Two-Week Sprint Retrospective,Comprehensive review of progress and roadmap transition to month 2.,2026-09-27,09:00,09:30,none,,2026-09-14T15:43:32.458252+00:00
fa106575-9879-4cd3-bc54-e735b8150b77,d42b4bff-581d-4fb0-8c68-fe72075f1698,Initial Assessment & Setup for learn AI,"Review current baseline, define measurable KPIs, gather necessary tools.",2026-09-20,09:00,09:45,none,,2026-09-14T15:45:23.786920+00:00
7ba272e2-7a8a-4432-b712-f108894c60f7,d42b4bff-581d-4fb0-8c68-fe72075f1698,Environment & Resource Preparation,"Organize dedicated workspace, study materials, or equipment required.",2026-09-21,09:00,09:30,none,,2026-09-14T15:45:23.809568+00:00
f0a7ec64-f047-437b-ac4f-a77ba7e1d020,d42b4bff-581d-4fb0-8c68-fe72075f1698,Foundation Phase - Core Fundamentals,Focus on foundational principles of learn AI.,2026-09-22,09:00,10:00,none,,2026-09-14T15:45:23.824722+00:00
dafa5d63-b812-4bfd-8b89-2c7068928a72,d42b4bff-581d-4fb0-8c68-fe72075f1698,Practice Session 1,Apply fundamental concepts through hands-on exercises.,2026-09-23,09:00,09:45,none,,2026-09-14T15:45:23.836838+00:00
77d7db2d-f28d-49af-894e-3ffc276698be,d42b4bff-581d-4fb0-8c68-fe72075f1698,Intermediate Deep Dive,Expand knowledge to level 2 complexity and real-world patterns.,2026-09-24,09:00,10:00,none,,2026-09-14T15:45:23.849903+00:00
0d6e7a29-9d48-41da-b0cd-1d9b4fd720cb,d42b4bff-581d-4fb0-8c68-fe72075f1698,Practical Application & Project Work,Build a mini-project or practical milestone demonstrating progress.,2026-09-25,09:00,10:00,none,,2026-09-14T15:45:23.867612+00:00
be7d4cb5-0453-4c1d-b1d6-04d1b80dd45c,d42b4bff-581d-4fb0-8c68-fe72075f1698,Weekly Progress Review & Refinement,"Evaluate week 1 achievements, identify bottlenecks, adjust pacing.",2026-09-26,09:00,09:30,none,,2026-09-14T15:45:23.886736+00:00
bd304ba9-cd4a-49dc-81e6-c02995483559,d42b4bff-581d-4fb0-8c68-fe72075f1698,Advanced Concept Exploration,Tackle more challenging aspects and edge cases.,2026-09-27,09:00,09:50,none,,2026-09-14T15:45:23.902733+00:00
ff26a88d-ab51-4d62-a0cb-692faecae136,d42b4bff-581d-4fb0-8c68-fe72075f1698,Structured Habit Building,Establish repeatable daily routines to sustain momentum.,2026-09-28,09:00,09:40,none,,2026-09-14T15:45:23.918344+00:00
094489ea-1352-44a7-9f7a-8bbefc4f1ad3,d42b4bff-581d-4fb0-8c68-fe72075f1698,Practical Testing & Feedback,Test skills or results against standard benchmarks.,2026-09-29,09:00,09:45,none,,2026-09-14T15:45:23.934282+00:00
827ecd73-afdd-4d1b-9493-b20561c9c552,d42b4bff-581d-4fb0-8c68-fe72075f1698,Optimization & Speed Enhancement,Streamline workflow and eliminate friction points.,2026-09-30,09:00,09:45,none,,2026-09-14T15:45:23.955302+00:00
41cca635-84a0-4c25-ab6f-3b328c460ec8,d42b4bff-581d-4fb0-8c68-fe72075f1698,Capstone Preparation,Synthesize all learnings into an integrated deliverable.,2026-10-01,09:00,10:00,none,,2026-09-14T15:45:23.972382+00:00
